,Topic,Pledge
0,1,"HOTREC calls for a level playing field and fair competition in the EU for the hospitality sector. We advocate for a specific instrument that addresses the complex and diverse regulatory questions presented by the STR industry. The main objectives include the introduction of a robust and efficient EU-wide registration system; or outlining clear and comprehensive data-sharing requirements. HOTREC made its first call for a level playing field for hoteliers vis-à-vis STR in 2014 and has since then produced several brochures and policy papers addressing how to introduce rules which are adapted to STR services and necessary regulatory requirements. _x000D_
_x000D_
We commit to issue and disseminate during the course of 2022 our position and research study among the EU institutions as well as with members of HOTREC and other stakeholders via our website. We will continue to share our position on the matter including via meetings with interested parties and stakeholders in order to reach a fair framework on the topic. Through our internal working group on STR held twice a year as well as during our biannual General Assemblies, we’ll continue to gather information about STR developments in EU countries and share the latter with the EU stakeholders during the designing phase of the STR regulation. We intend to continue monitoring STR developments during the implementation phase of the STR initiative and act as an information sharing platform between our members"
1,1,"Actually we as an association are still pretty much at the beginning due to the pandemic which took the better part of our ressources. What we want to provide is a proper guideline for STR how to achieve, maintain and develop a sustainable business._x000D_
Additionally our business is very fragmented and diverse. We have privat hosts with one or only a few apartments, professional hosts, local property managers of all sizes, platforms for STR (local, national and international level) and service providers for the industry of all kind._x000D_
Our target for 2025 is to achieve that guideline. _x000D_
_x000D_
Nonetheless Some of our members have implemented a variation of measures like strategies for a sustainable transmission, climate compensation, specific advertising for sustainable accomodations, using local supplies, charging stations for e-cars, using renewable energy and CO2-neutral construction, tools to minimise negative impact of tourism on neighbourhoods etc."
2,1,"Estonia sees the need to synchronize and harmonize rules of short-term rentals at the EU level. We will participate in process of common development and implementation of common principles, however bearing in mind that regions are different and may need different approach."
3,2,"Achieve sustainable and flexible solutions for multimodal transport and develop policies to protect natural heritage and biodiversity, respecting the socio-cultural authenticity of host communities._x000D_
_x000D_
CNA Turismo e Commercio, over the three-year period (between autumn 2022 and throughout 2023), will organize training seminars for businesses - with the involvement of public and private stakeholders - aimed at the implementation of concrete solutions for the development of good practices for a supply of multimodal transport and protocols for the respect and protection of the natural heritage and biodiversity."
4,2,"The Ile-de-France Region aims to make tourist sites accessible from railway stations by developing a new mobility offer for residents and visitors. In order to do so, the Region will launch a call for projects so called ""Last mile"" for territories. The outcome will be to propose innovative solutions tailored to the tourist who would like to visit sites located far away from the railway network._x000D_
_x000D_
La Région entend élargir très fortement l’accessibilité en transports en commun de l’offre touristique régionale. _x000D_
En effet, les destinations et sites touristiques ne sont pas toujours facilement accessibles depuis les gares régionales. Il est donc nécessaire de développer une offre de mobilité répondant aux besoins de tous les visiteurs et reliant les gares et les principaux monuments ou lieux touristiques. Le développement des grands projets de transports, et en particulier du réseau circulaire du Grand Paris Express, permettra dans les années à venir d’améliorer l’accessibilité de nombreux territoires et sites touristiques. Cependant, la Région veillera également à ce que cette dimension touristique soit bien prise en compte non seulement dans le cadre du projet du Grand Paris, mais aussi par l’autorité régionale d’organisation des mobilités, Île-de-France Mobilités, et les opérateurs de transports en commun._x000D_
Si les mobilités douces sont une partie de la solution, la Région souhaite accompagner également l’innovation dans les territoires. C’est pourquoi, un appel à projets “Dernier kilomètre” sera proposé aux territoires (Départements ou Intercommunalités, Parcs naturels régionaux) qui seraient intéressés par la démarche. L’objectif est de trouver des solutions viables adaptées à la fréquentation touristique de lieux éloignés du réseau ferré régional, en faisant appel à des solutions innovantes. La Région interviendra notamment en matière d’investissements._x000D_
Par ailleurs, la Région Île-de-France et le Comité Régional du Tourisme Paris Île-de-France (CRT), en lien avec les partenaires de l’offre touristique, entendent travailler à renforcer les services offerts par les opérateurs de transport en faveur de l’utilisation par les touristes des transports en commun pour se déplacer dans l’ensemble de la destination. _x000D_
Cette volonté forte de faciliter l’accès au site dans une approche multimodale sur l’ensemble du territoire régional sera systématiquement mise en valeur dans les campagnes de communication menées à destination des clientèles de proximité, nationale ou internationales.ù"
5,3,The Austrian Hoteliers Association (ÖHV) publishes studies on an ongoing basis and works with partners on further development to create more knowledge and transparency in tourism. The goal is to establish a hotel benchmark system in Austria by 2025.
6,3,"ISPRA commits to collect and publish indicators relating to ""tourism and the environment"" at a national and often regional level. These indicators are publicly available on the ISPRA Environmental Indicators Database updated annually (https: //annuario.isprambiente.it/sys_ind/macro/28) browsable online."
7,3,"Once a year we will monitor, and publish on the National tourism dashboard, social, environmental, and economic indicators for Slovakia, such as:_x000D_
Social indicators:_x000D_
1.	Tourist satisfaction - Specific Survey focused on foreign visitors mapping % tourists satisfied_x000D_
2.	Pressure – Number of beds per 100 residents, Tourism Intensity (Number of tourists overnight stays per 100 residents per day), Tourism Density (Number of tourists overnight stays per day per km2)_x000D_
Economic indicators:_x000D_
1.	Regional Dispersion (Bednights in top 5 destinations)_x000D_
2.	Seasonality Rate – All (Foreign and domestic) tourists bednights in all forms of paid accommodation establishments, Gini Coefficient (  _x000D_
3.	Economic Benefits - Avg. spend of domestic and foreign tourist per person/per night in €, Average length of stay of tourists in all forms of paid accommodation establishments_x000D_
4.	Employment - Tourism Employment/Total Employment (%)_x000D_
Environmental indicators:_x000D_
1.	Carbon footprint - Tons of CO2 generated by Accommodation and service activities, Travel agency, tour operator and other reservation service and related activities, and Air transport"
8,3,"Committed to unleashing the full power of data while leaving no one behind, UNWTO pledges to improve its statistical data management practices so that people can better discover, access and share the data they need. A concrete action towards this will be to improve the reporting cycle to have 3 published updates per year, starting from year 2023. We will also expand the number of indicators compiled to monitor the role of tourism in the Sustainable Development Goals (SDGs) by end of the year 2022, with all data to be made available in a more user-friendly, accessible online format at https://www.unwto.org/tourismstatistics-database."
9,3,"Improve the management and collection of sustainable tourism indicators in the scope of the certification process as a sustainable tourist destination under GSTC criteria, and make it available for stakeholders, in order to have a smart and sustainable tourism moddel approach, with the aim to achieve Gold certification standard by EarthCheck by 2024."
10,3,By 2025 we`ll have a solid data business intelligence system based in our brand new digital platform and several big data sources.
11,3,".The Catalan Tourism Data System platform (TDS): is an electronic platform of the online survey system that allows managing and analyzing the evolution of the activity of accommodation and comparing it with the global destination, the type of accommodation and other brands tourist. The target for the next years would be to include expenditure data at the regional level_x000D_
•	https://empresa.gencat.cat/ca/treb_ambits_actuacio/turisme/coneixement_planificacio/estadistiques-turistiques/tourism-data-system_x000D_
•	https://catalunya.tourism-data-system.cat/_x000D_
_x000D_
.The system of indicators of the Tourism Intelligence Indicators System (INTUCAT) has been approved. This index is structured based on 4 areas of measurement, which refer to the environmental sustainability, social sustainability and economic sustainability of the tourism activity at the destination. A fourth area that has been considered essential is the measurement of the achievement of the Sustainable Development Goals (SDGs)._x000D_
Target: to develop and implement the System INTUCAT _x000D_
•	https://empresa.gencat.cat/ca/treb_ambits_actuacio/turisme/coneixement_planificacio/indicadors-turistics-ictucat-intucat/_x000D_
_x000D_
. INTEL·LITUR: _x000D_
With a clear orientation towards data culture in the companies, Catalonia is promoting a platform where the client of the Catalan Tourist Board (CTB) (companies in the Catalan tourism sector) can find all the key information they need regarding products and markets. _x000D_
The platform, within the B2B portal of the CTB, consists of two parts, one part with quantitative information in PowerBI format and a virtual library with documents of interest generated by the CTB._x000D_
The information is structured according to the life cycle of the trip or according to the needs of the company: attracting customers, gaining customer loyalty, increasing productivity, increasing profitability or maintaining the company's staff._x000D_
Target: the first phase should be online by the end of 2023 (quantitative data), the second one by the end of 2024 (virtual library)._x000D_
_x000D_
. TOT LAB: _x000D_
Catalonia is part of TOTLAB, NECSTOUR's knowledge laboratory._x000D_
We are working this 2022 on a project of indicators of sustainability in the territory focused on the so-called 4D, diversification of the tourist offer, territorial deconcentration of tourism, deseasonalization of the arrival of tourist flows and spending (Despesa in Catalan)._x000D_
The aim of this work is to establish an index for measuring the correct implementation of the wise growth strategy proposed in our Marketing plan 18-23._x000D_
Target: Each year we will work on a topic that can be shared with the other participating members of TOTLAB, and so the other members should do."
12,3,"Working on a monitoring scheme for climate-neutral destinations. Calculating and monitoring the (real! comprehensive) CO2-Footprint of tourism; developing programs to avoid, reduce and compensate. The methodology should be ready, tested and available by end of 2023."
13,3,"Our Intermediterranean and Islands Commissions, together with several technical partners and Tourism Observatories in the Mediterranean, are working to create a Network of Mediterranean Observatories on Sustainable Tourism (Med NSTO). This work is being supported by an EU territorial cooperation project, BEST MED, funded by Interreg Med Programme. This project is producing an info hub and will deliver a road map describing the next steps to create the NSTO by the end of 2022. _x000D_
_x000D_
Our organization, including some of our member regions (e.g. in Italy and Spain) in particular are especially engaged in this process and will keep working after the project’s conclusion to set up this Network of observatories with the idea to bring together the main parties to share ideas, techniques and tools on data/indicators, and to build multi-level cooperation in order to seek better joint solutions and work in a common direction. _x000D_
_x000D_
Hopefully for 2025 we will have consolidated the current embryo of network of observatories, linking up with INSTO from UN WTO, the Glasgow Declaration and other initiatives/EC actions, indeed contributing to the EU Pathway and topic 3 and in particular to harmonised data collection, improving access to data for official statistics and including key sustainability indicators on the basis of the work already done in the past and in concrete projects such as BEST MED, Mitomed +, Co-Evolve, among others. _x000D_
_x000D_
It’s difficult to look further than 2025. This is a work in progress that will depend on the will and resources of all involved parties and on the support coming from EU funding streams which we are already applying for to the relevant cooperation programmes in the framework of open call for proposals (e.g. call for governance projects Euro-Med Interreg). _x000D_
_x000D_
If this experience works, we don’t exclude to assess the possibility to replicate it in other sea basins or in any case to extrapolate useful results for the benefit of other EU regions within our membership/EU Tourism transition pathway implementation. _x000D_
_x000D_
On a more general note, if any discussion on data/indicators is foreseen at EU level involving the regions our organization will be happy to liaise and provide representatives/experts from our member regions and their observatories. Also as a network we have a vocation to establish synergies with the foreseen tourism stakeholder collaboration platform and other platforms and initiatives."
14,3,"The increase of the main tourism indicators is one of the most important objectives of the tourism sector strategy, the implementation of which will start in the next period. We expect that by 2030 we will see not only consistent increases in tourism indicators, but also an operational measurement and monitoring system that is intuitive and adapted to trends."
15,3,"Tourism intelligence and innovation one of six action programs of the Strategic Tourism Plan for Navarra 2018-2025. This plan formulates the need to improve the measurement of Tourism in Navarra, including sustainability._x000D_
To meet these needs, the Navarra Tourism Observatory were been created to be at service for both the public administration and the sector. Since establishing the observatory, we have made considerable advancements and in 2019, we entered the UNWTO International Network of Sustainable Tourism Observatories (INSTO). As an INSTO member, we commit to submit a yearly report monitoring 11 mandatory issue areas._x000D_
The reports for 2019 and 2020 are available here:_x000D_
https://www.visitnavarra.es/es/web/turismoprofesional/observatorio-turistico/red-observatorio-sostenible-insto/memorias-anuales_x000D_
In 2021, we joined NECSTouR and its the Tourism of Tomorrow Lab. Through our participation in this network, we aim to further improve tourism statistics._x000D_
Strategic objectives:_x000D_
Within the framework of the Navarra Tourism Action Plan 2020-2022, within Strategic Line 6: Tourism intelligence, the following objectives have been established:_x000D_
- Monitor Navarra's tourist offer in its progress towards digital transformation, competitiveness, sustainability, quality and inclusion_x000D_
- Increase knowledge about tourism flow and demand_x000D_
- Measurement of social sustainability in the territory_x000D_
- Monitoring of national and international trends and competitors_x000D_
The degree of achievement of the same will be assessed through the monitoring of these indicators:_x000D_
- Number of new data sources incorporated_x000D_
- Variation in spending at destination_x000D_
- Variation in indicators of sustainability, digital transformation, competitiveness and inclusion._x000D_
These objectives are in alignment with those proposed in:_x000D_
- The Strategic Plan for Tourism 2018-2025, in which the ""Creation of the Navarra Tourism Observatory to improve the transfer of market intelligence knowledge to the sector as a whole"" was determined._x000D_
- And at the international level with the SDGs 2020: Objective 8 Decent work and economic growth; Objective 9 Industry, Innovation and Infrastructure; Objective 12 Responsible production and consumption)_x000D_
Its development is also supported by the Smart Specialization Strategy of Navarra S4 (2021-2027 update), in which sustainable tourism is established as a thematic priority and the development of lines of work such as the ""Digital transition in the intelligence system of tourist markets. Collection of data on demand, preferences and behaviors for decision-making in tourism marketing”."
