,Topic,Pledge,Pledge status,PreProcessedText
0,1,"Actually we as an association are still pretty much at the beginning due to the pandemic which took the better part of our ressources. What we want to provide is a proper guideline for STR how to achieve, maintain and develop a sustainable business.
Additionally our business is very fragmented and diverse. We have privat hosts with one or only a few apartments, professional hosts, local property managers of all sizes, platforms for STR (local, national and international level) and service providers for the industry of all kind.
Our target for 2025 is to achieve that guideline. 

Nonetheless Some of our members have implemented a variation of measures like strategies for a sustainable transmission, climate compensation, specific advertising for sustainable accomodations, using local supplies, charging stations for e-cars, using renewable energy and CO2-neutral construction, tools to minimise negative impact of tourism on neighbourhoods etc.",Published,actually association still pretty much begin due pandemic take well part ressources want provide proper guideline str achieve maintain develop sustainable business additionally business fragment diverse privat host one apartment professional host local property manager size platform str local national international level service provider industry kind target achieve guideline nonetheless member implement variation measure like strategy sustainable transmission climate compensation specific advertising sustainable accomodations use local supply charge station car use renewable energy co neutral construction tool minimise negative impact tourism neighbourhood etc
1,1,"EFFAT welcomes the Commission Proposal for a Regulation on data collection and sharing relating to short-term accommodation rental services COM(2022) 571 published on 7 November 2022. Such regulation is a first important step to ensure fair competition and a level playing field between all providers of accommodation services.

The collection of full and comprehensive data on short-term rental hosts and guests, and the obligation of short-term rental platforms to provide these data to national competent authorities, as well as the sharing of the data at European level, will enable Member States to better regulate the sector in a harmonised approach.

EFFAT, together with its social partner HOTREC, has been advocating for many years for a level playing field and fair competition in hospitality and tourism, asking that the same rules have to be applied to all providers of accommodation services, with regard to  e.g.
- Legislation
- Fiscal obligations
- Food hygiene rules
- Registration and permits for operation
- Licensing to serve alcohol
- Statistical measurement of the economic activity
- Safety and security
- Employees’ rights and protection
- Consumers’ rights
- Right to proper living conditions of residential neighbourhoods
- Zoning in urban planning, e.g. the distinction between residential and commercial properties
(see Joint EFFAT-HOTREC Statements on the Sharing / Platform Economy of December 2015 and November 2019)

EFFAT will 
- in 2023-2024, follow the legislative procedure for the Regulation through European Parliament and Council of Ministers
- during this legislative procedure, regularly keep its national member organisations updated about the legislation in the making, by reporting at least 2 times per year on the progress made and agree on measures to be taken by EFFAT and national affiliates
- once the Regulation is finally adopted, ask national member organisations to monitor the transposition of the Regulation in their countries and to push for its proper implementation, and to report at least 2 times per year about the actions taken and the progress made 
- follow the work of the Single Digital Entry Points Coordination Group composed of Member States' national coordinators
- continue to address the issue of short-term accommodation rental services in the Sectoral Social Dialogue Committee Horeca, by putting it on the agenda of the 2 Working Group and 1 Plenary meetings per year, and to undertake joint actions with its social partner HOTREC whenever necessary
- continue to advocate for further measures to guarantee a level playing field and fair competition in hospitality and tourism, by compelling short-term accommodation rental services to comply with the same rules and obligations as other accommodation providers

The actions described above shall contribute to achieving the aim that all short-term accommodation rental platforms have applied the obligations of the Regulation by 2025, or at least 2 years after its coming into force.",Ready for publishing,effat welcome commission proposal regulation data collection share relate short term accommodation rental service com publish november regulation first important step ensure fair competition level play field provider accommodation service collection full comprehensive data short term rental host guest obligation short term rental platform provide data national competent authority well share data european level enable member state well regulate sector harmonise approach effat together social partner hotrec advocate many year level play field fair competition hospitality tourism ask rule apply provider accommodation service regard legislation fiscal obligation food hygiene rule registration permit operation license serve alcohol statistical measurement economic activity safety security employee right protection consumer right right proper live condition residential neighbourhood zone urban plan distinction residential commercial property see joint effat hotrec statement share platform economy december november effat follow legislative procedure regulation european parliament council minister legislative procedure regularly keep national member organisation updated legislation make report least time per year progress make agree measure take effat national affiliate regulation finally adopt ask national member organisation monitor transposition regulation country push proper implementation report least time per year action take progress make follow work single digital entry point coordination group compose member state national coordinator continue address issue short term accommodation rental service sectoral social dialogue committee horeca put agenda work group plenary meeting per year undertake joint action social partner hotrec whenever necessary continue advocate measure guarantee level playing field fair competition hospitality tourism compel short term accommodation rental service comply rule obligation accommodation provider action describe shall contribute achieve aim short term accommodation rental platform apply obligation regulation least year come force
2,1,"HOTREC calls for a level playing field and fair competition in the EU for the hospitality sector. We advocate for a specific instrument that addresses the complex and diverse regulatory questions presented by the STR industry. The main objectives include the introduction of a robust and efficient EU-wide registration system; or outlining clear and comprehensive data-sharing requirements. HOTREC made its first call for a level playing field for hoteliers vis-à-vis STR in 2014 and has since then produced several brochures and policy papers addressing how to introduce rules which are adapted to STR services and necessary regulatory requirements. 

We commit to issue and disseminate during the course of 2022 our position and research study among the EU institutions as well as with members of HOTREC and other stakeholders via our website. We will continue to share our position on the matter including via meetings with interested parties and stakeholders in order to reach a fair framework on the topic. Through our internal working group on STR held twice a year as well as during our biannual General Assemblies, we’ll continue to gather information about STR developments in EU countries and share the latter with the EU stakeholders during the designing phase of the STR regulation. We intend to continue monitoring STR developments during the implementation phase of the STR initiative and act as an information sharing platform between our members",Published,hotrec call level play field fair competition eu hospitality sector advocate specific instrument address complex diverse regulatory question present str industry main objective include introduction robust efficient eu wide registration system outline clear comprehensive data share requirement hotrec make first call level play field hotelier vis à vi str since produce several brochure policy paper address introduce rule adapt str service necessary regulatory requirement commit issue disseminate course position research study among eu institution well member hotrec stakeholder via website continue share position matter include via meeting interested party stakeholder order reach fair framework topic internal work group str hold twice year well biannual general assembly continue gather information str development eu country share latter eu stakeholder design phase str regulation intend continue monitor str development implementation phase str initiative act information share platform member
3,1,"Estonia sees the need to synchronize and harmonize rules of short-term rentals at the EU level. We will participate in process of common development and implementation of common principles, however bearing in mind that regions are different and may need different approach.",Published,estonia see need synchronize harmonize rule short term rental eu level participate process common development implementation common principle however bear mind region different may need different approach
4,1,"Sphere Travel Club contributes to a flourishing and transparent STR market by transparently controlling the quality and offer on its platform, opening up the market for exchange among holiday home owners. We pledge to curate a collection of properties that have outstanding quality, only correct information and owners of trust, so as to ensure that clients receive what they are offered and to avoid any type of fraud through a trustful environment.
Our target for 2025 is to have at least 15 properties in each member state of the EU.

Furthermore, many holiday properties stand empty up to 80% of the year and are only sparsely used by their owners, thereby representing a considerable environmental impact. One of our core aims is to provide a community of trust that allows more people to access unused holiday home properties through the sharing economy, thereby optimising the existing resources and positively contributing to the environment.
Our target for 2025 is to have saved 10.000 weeks from going to waste.",Ready for publishing,sphere travel club contribute flourish transparent str market transparently control quality offer platform open market exchange among holiday home owner pledge curate collection property outstanding quality correct information owner trust ensure client receive offer avoid type fraud trustful environment target least property member state eu furthermore many holiday property stand empty year sparsely use owner thereby represent considerable environmental impact one core aim provide community trust allow people access unused holiday home property share economy thereby optimise exist resource positively contribute environment target save week go waste
5,2,"Achieve sustainable and flexible solutions for multimodal transport and develop policies to protect natural heritage and biodiversity, respecting the socio-cultural authenticity of host communities.

CNA Turismo e Commercio, over the three-year period (between autumn 2022 and throughout 2023), will organize training seminars for businesses - with the involvement of public and private stakeholders - aimed at the implementation of concrete solutions for the development of good practices for a supply of multimodal transport and protocols for the respect and protection of the natural heritage and biodiversity.",Published,achieve sustainable flexible solution multimodal transport develop policy protect natural heritage biodiversity respect socio cultural authenticity host community cna turismo commercio three year period autumn throughout organize training seminar business involvement public private stakeholder aim implementation concrete solution development good practice supply multimodal transport protocol respect protection natural heritage biodiversity
6,2,"As an organisation representing transport workers, we are keen to ensure that there are realistic, practical and green intermodal transport solutions to support green travel of passengers to/from tourism destinations. The ETF represents workers in all transport modes, and we regularly work together to come up with common intermodal solutions, including under the TEN-T framework.

The ETF intends to hold a joint meeting of its railway and aviation members at the end of 2023 to discuss best possible intermodal strategies for the transfer of international passengers between the transport modes. This will feed into the ETF's broader policy position on intermodality.",Ready for publishing,organisation represent transport worker keen ensure realistic practical green intermodal transport solution support green travel passenger tourism destination etf represent worker transport mode regularly work together come common intermodal solution include ten framework etf intend hold joint meeting railway aviation member end discuss best possible intermodal strategy transfer international passenger transport mode fee etf broader policy position intermodality
8,3,"Improve the management and collection of sustainable tourism indicators in the scope of the certification process as a sustainable tourist destination under GSTC criteria, and make it available for stakeholders, in order to have a smart and sustainable tourism moddel approach, with the aim to achieve Gold certification standard by EarthCheck by 2024.",Published,improve management collection sustainable tourism indicator scope certification process sustainable tourist destination gstc criterion make available stakeholder order smart sustainable tourism moddel approach aim achieve gold certification standard earthcheck
9,3,By 2025 we'll have a solid data business intelligence system based in our brand new digital platform and several big data sources.,Published,solid data business intelligence system base brand new digital platform several big data source
10,3,".The Catalan Tourism Data System platform (TDS): is an electronic platform of the online survey system that allows managing and analyzing the evolution of the activity of accommodation and comparing it with the global destination, the type of accommodation and other brands tourist. The target for the next years would be to include expenditure data at the regional level
•	https://empresa.gencat.cat/ca/treb_ambits_actuacio/turisme/coneixement_planificacio/estadistiques-turistiques/tourism-data-system
•	https://catalunya.tourism-data-system.cat/

.The system of indicators of the Tourism Intelligence Indicators System (INTUCAT) has been approved. This index is structured based on 4 areas of measurement, which refer to the environmental sustainability, social sustainability and economic sustainability of the tourism activity at the destination. A fourth area that has been considered essential is the measurement of the achievement of the Sustainable Development Goals (SDGs).
Target: to develop and implement the System INTUCAT 
•	https://empresa.gencat.cat/ca/treb_ambits_actuacio/turisme/coneixement_planificacio/indicadors-turistics-ictucat-intucat/

. INTEL·LITUR: 
With a clear orientation towards data culture in the companies, Catalonia is promoting a platform where the client of the Catalan Tourist Board (CTB) (companies in the Catalan tourism sector) can find all the key information they need regarding products and markets. 
The platform, within the B2B portal of the CTB, consists of two parts, one part with quantitative information in PowerBI format and a virtual library with documents of interest generated by the CTB.
The information is structured according to the life cycle of the trip or according to the needs of the company: attracting customers, gaining customer loyalty, increasing productivity, increasing profitability or maintaining the company's staff.
Target: the first phase should be online by the end of 2023 (quantitative data), the second one by the end of 2024 (virtual library).

. TOT LAB: 
Catalonia is part of TOTLAB, NECSTOUR's knowledge laboratory.
We are working this 2022 on a project of indicators of sustainability in the territory focused on the so-called 4D, diversification of the tourist offer, territorial deconcentration of tourism, deseasonalization of the arrival of tourist flows and spending (Despesa in Catalan).
The aim of this work is to establish an index for measuring the correct implementation of the wise growth strategy proposed in our Marketing plan 18-23.
Target: Each year we will work on a topic that can be shared with the other participating members of TOTLAB, and so the other members should do.",Published,catalan tourism data system platform tds electronic platform online survey system allow manage analyze evolution activity accommodation compare global destination type accommodation brand tourist target next year would include expenditure data regional level system indicator tourism intelligence indicator system intucat approve index structure base area measurement refer environmental sustainability social sustainability economic sustainability tourism activity destination fourth area consider essential measurement achievement sustainable development goal sdgs target develop implement system intucat intellitur clear orientation towards data culture company catalonia promote platform client catalan tourist board ctb company catalan tourism sector find key information need regard product market platform within bb portal ctb consist two part one part quantitative information powerbi format virtual library document interest generate ctb information structure accord life cycle trip accord need company attract customer gain customer loyalty increase productivity increase profitability maintain company staff target first phase online end quantitative data second one end virtual library tot lab catalonia part totlab necstour knowledge laboratory work project indicator sustainability territory focus call diversification tourist offer territorial deconcentration tourism deseasonalization arrival tourist flow spend despesa catalan aim work establish index measure correct implementation wise growth strategy propose marketing plan target year work topic share participate member totlab member
